theta_deg,O_x,O_y,G_x,G_y,J1_x,J1_y,J2_x,J2_y,J3_x,J3_y,J4_x,J4_y,J5_x,J5_y,F_x,F_y
295.0000,0.000000,0.000000,-38.000000,-7.800000,6.339274,-13.594617,-19.375452,29.286065,-72.587718,12.490387,-46.264056,-46.221288,-77.295752,-26.627313,-65.545818,-91.268082
300.0000,0.000000,0.000000,-38.000000,-7.800000,7.500000,-12.990381,-19.275818,29.235861,-72.533045,12.583298,-44.508359,-46.557338,-75.380962,-26.713640,-64.152926,-91.447103
305.0000,0.000000,0.000000,-38.000000,-7.800000,8.603647,-12.287281,-19.261129,29.228431,-72.524956,12.596995,-42.776133,-46.808698,-73.535576,-26.790042,-62.675244,-91.586208
310.0000,0.000000,0.000000,-38.000000,-7.800000,9.641814,-11.490667,-19.327535,29.261963,-72.561464,12.535073,-41.074545,-46.979550,-71.766056,-26.856897,-61.125101,-91.689451
315.0000,0.000000,0.000000,-38.000000,-7.800000,10.606602,-10.606602,-19.471946,29.334367,-72.640359,12.400384,-39.410282,-47.074688,-70.078285,-26.916226,-59.513008,-91.761156
320.0000,0.000000,0.000000,-38.000000,-7.800000,11.490667,-9.641814,-19.691913,29.443307,-72.759235,12.195139,-37.789517,-47.099436,-68.477579,-26.971523,-57.847735,-91.805900
325.0000,0.000000,0.000000,-38.000000,-7.800000,12.287281,-8.603647,-19.985534,29.586214,-72.915493,11.921012,-36.217891,-47.059573,-66.968672,-27.027612,-56.136371,-91.828470
330.0000,0.000000,0.000000,-38.000000,-7.800000,12.990381,-7.500000,-20.351350,29.760287,-73.106343,11.579233,-34.700498,-46.961247,-65.555694,-27.090493,-54.384410,-91.833773
335.0000,0.000000,0.000000,-38.000000,-7.800000,13.594617,-6.339274,-20.788254,29.962492,-73.328789,11.170680,-33.241881,-46.810900,-64.242119,-27.167192,-52.595848,-91.826719
340.0000,0.000000,0.000000,-38.000000,-7.800000,14.095389,-5.130302,-21.295397,30.189554,-73.579619,10.695964,-31.846034,-46.615186,-63.030702,-27.265600,-50.773315,-91.812067
345.0000,0.000000,0.000000,-38.000000,-7.800000,14.488887,-3.882286,-21.872100,30.437950,-73.855395,10.155519,-30.516419,-46.380902,-61.923396,-27.394280,-48.918257,-91.794252
350.0000,0.000000,0.000000,-38.000000,-7.800000,14.772116,-2.604723,-22.517768,30.703902,-74.152436,9.549680,-29.255985,-46.114908,-60.921251,-27.562256,-47.031177,-91.777175
355.0000,0.000000,0.000000,-38.000000,-7.800000,14.942920,-1.307336,-23.231806,30.983379,-74.466816,8.878769,-28.067204,-45.824066,-60.024312,-27.778755,-45.111934,-91.763996
